,Solubility (M/L),SMILES
546,-3.13,O=C(c(cccc1)c1C(OCC=C)=O)OCC=C
547,-3.13,CC=Cc1ccc(OC)cc1
548,-3.13,Fc1ccc(I)cc1
549,-3.14,OC(C2(C(C(O)=C1C(N)=O)N(C)C))(C(O)=C(C3=O)C(C2O)(C(C)(O)c4c3c(O)ccc4))C1=O
550,-3.14,BrC(Br)(Br)Br
551,-3.14,COc1c(C(C4c(ccc(OC)c5OC)c5C(O4)=O)N(C)CC3)c3cc2c1OCO2
552,-3.14,O=C(C(SCCO2)=C2C)Nc1ccccc1
553,-3.15,Clc1nc(NC(C)(C)C#N)nc(NCC)n1
554,-3.15,O=C(Nc2ccccc2)Nc1ccccc1
555,-3.15,O=C(c(cccc2)c2O)Oc1ccccc1
556,-3.18,CCN(CCNC(c1c(OC)cc(N)c(Cl)c1)=O)CC
557,-3.18,Sc2nc1ccccc1s2
558,-3.18,CCCCC
559,-3.2,Cc(c(C)ccc1)c1C
560,-3.21,Brc1cc(Cl)ccc1
561,-3.21,CCc(cccc1)c1C
562,-3.22,O=C(O)C(c2ccccc2)c1ccccc1
563,-3.22,IC=CI
564,-3.23,C=CCCCC
565,-3.24,Clc(cc(N)cc1)c1Cl
566,-3.24,CC(Nc1c(C)cc(C)c(NS(=O)(C(F)(F)F)=O)c1)=O
567,-3.25,CC(Nc(cc1)ccc1I)=O
568,-3.26,O=C(N(c1c(CC)cccc1CC)COC)CCl
569,-3.26,O=C(c(cc1)ccc1N)OCCCCC
570,-3.26,COC(c1c(Cl)c(N)cc(Cl)c1)=O
571,-3.27,O=C(OCCNCCCCC)c(cc1)ccc1N
572,-3.27,O=C(c1cc(I)ccc1)O
573,-3.27,CC1=CCCCC1
574,-3.27,CC(C)c1ccccc1
575,-3.28,COc1nnc(NS(=O)(c2ccc(cc2)N)=O)cc1
576,-3.28,O=C(NC)Oc1c(cccc2)c2ccc1
577,-3.3,CC1CCCC1
578,-3.3,Cc1c(C(Nc2ccccc2)=O)cco1
579,-3.31,O=C(c(cc1I)c(c(I)c1)O)O
580,-3.31,O=C(c1ccc(Cl)cc1)O
581,-3.31,CC(CCCCCCCC)=O
582,-3.31,Cc(cc(C)cc1)c1C
583,-3.32,O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cccc1
584,-3.33,Brc1cc(C#N)cc(Br)c1O
585,-3.35,CCOP(OCC)(N2C(c1ccccc1C2=O)=O)=S
586,-3.36,c12c(cccn3)c3ccc1cccc2
587,-3.36,S=C(N1)NC(C(C(C)CCC)(CC)C1=O)=O
588,-3.37,OC4CCC3(C)C2CC(O)C1(C)C(C(C)CCC(O)=O)CCC1C2C(O)CC3C4
589,-3.37,CCN(C=C1C(O)=O)c(nc(C)cc2)c2C1=O
590,-3.37,C1(CN2CCC1CC2(C(c3ccnc4c3cc(cc4)OC)(O)))C=C
591,-3.37,CCCc1ccccc1
592,-3.37,OC(c2ccc(F)cc2)(c3c(F)cccc3)Cn1cncn1
593,-3.39,CCCCCCCC(OC)=O
594,-3.39,S=C(SCC(Cl)=C)N(CC)CC
595,-3.39,O=C(NS(c1ccc(C)cc1)(=O)=O)NCCCC
596,-3.4,CN(C)CCC=C1c3c(cccc3)OCc2c1cccc2
597,-3.4,O=C(O)CCCCCCCCC=C
598,-3.4,Cc1cc(C)cc(C)c1
599,-3.42,CCOC2Oc1ccc(cc1C2(C)C)OS(C)(=O)=O
600,-3.43,O=C1CCC2(C)C(CCC3C2(F)C(O)CC4(C)C3CCC4(O)C(CO)=O)=C1
601,-3.43,O=C(Nc1cc(C(F)(F)F)ccc1)N(C)C
602,-3.44,CCCCCCCCCC(O)=O
603,-3.46,S=C(N1)NC(C(C(C)CCC)(CC=C)C1=O)=O
604,-3.48,CC(C(CC2)=CC1=O)(CC1)C(C(C3)=O)C2C(CCC4=O)C34C
605,-3.48,O=C(c1ccccc1)OCCCC
606,-3.48,Oc1ccc(c2ccccc2)cc1
607,-3.5,Brc(cccc1)c1Br
608,-3.51,O=S(Nc1ncccn1)(c2ccc(N)cc2)=O
609,-3.51,c1(Nc2ccccc2)ccccc1
610,-3.52,C1CCCCCC1
611,-3.52,O=C(Nc1cc(Cl)c(Cl)cc1)N(C)OC
612,-3.52,Cc1cc(Br)ccc1
613,-3.52,Cc(cccc1)c1Cl
614,-3.54,O=N(c1c(cccc2)c2ccc1)=O
615,-3.55,CC(C)(C)CC
616,-3.57,O=C(N(CC)CC)C(Oc1cccc2c1cccc2)C
617,-3.59,O=S(N(C(C)=O)c1c(C)c(C)no1)(c(cc2)ccc2N)=O
618,-3.59,O=S2(c1cc(S(N)(=O)=O)c(C(F)(F)F)cc1NC(Cc3ccccc3)N2)=O
619,-3.59,Clc1c(Cl)cc(Cl)cc1
620,-3.59,O=C(c(cccc2)c2O)Nc1ccccc1
621,-3.6,c12ccccc1cccc2
622,-3.6,Clc(cccc1)c1C(c(cc(Cl)cc3)c3NC2=O)=NC2O
623,-3.61,Oc1c(I)cc(C#N)cc1I
624,-3.61,O=C(C(C)(C)C)C(n2cncn2)Oc1ccc(Cl)cc1
625,-3.63,CCCCCCCCCCO
626,-3.63,Brc1ccc(Cl)cc1
627,-3.64,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(O)C(CO)=O)=C1
628,-3.64,CC(CCC(O)=O)C3CCC4C2C(O)CC1CC(O)CCC1(C)C2CCC34C
629,-3.66,CNCCCN1c3c(cccc3)CCc2c1cccc2
630,-3.66,C#CCCCCCC
631,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
632,-3.67,Clc1c(ccc(Cl)c1)OCCCC(O)=O
633,-3.68,Cc1cc2c(N=C(C(N3)=O)C(N2CC(O)C(O)C(O)CO)=NC3=O)cc1C
634,-3.68,O=S(NC(NN2CCCCCC2)=O)(c1ccc(C)cc1)=O
635,-3.69,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(O)C4(O)C(CO)=O)=C1
636,-3.69,CC12C(CCC(C3(CCC4=O))C2CCC34C)=CC(CC1)=O
637,-3.7,O=C(c2ccccc2)c1cccc(C(C(O)=O)C)c1
638,-3.7,O=S(Nc1cnccn1)(c(cc2)ccc2N)=O
639,-3.71,O=C(CC)N(c2ccccc2)C1(COC)CCN(CCc3cccs3)CC1
640,-3.73,O=C(C1CCCC)N(c2ccc(O)cc2)N(c3ccccc3)C1=O
641,-3.74,CC(C)CCC
642,-3.75,CCc1ccc(CC)cc1
643,-3.75,O=NN(c2ccccc2)c1ccccc1
644,-3.77,O=C(OC)C(Cl)Cc1ccc(Cl)cc1
645,-3.77,Cc1cc(cccc2)c2cc1
646,-3.78,CC2Nc1cc(Cl)c(S(N)(=O)=O)cc1C(N2c3ccccc3C)=O
647,-3.79,Cc1cccc(C)c1NC(c2cc(S(N)(=O)=O)c(cc2O)Cl)=O
648,-3.8,O=C2CN=C(c3ccccc3)c1cc(N(=O)=O)ccc1N2C
649,-3.81,CCOc2ccc1nc(S(N)(=O)=O)sc1c2
650,-3.81,O=C(C1CCCC)N(c2ccccc2)N(c3ccccc3)C1=O
651,-3.81,BrCCCCCC
652,-3.82,C12CC(O)CCC1(C)C3C(C(CCC4C(CCC(O)=O)C)C4(C)CC3)CC2O
653,-3.84,c1cc(OCCCC)ccc1C(=O)OCCN(CC)CC
654,-3.89,CC(CC)c1ccccc1
655,-3.93,Clc1c(cccc2)c2ccc1
656,-3.95,CCCCCCOC(c1ccc(N)cc1)=O
657,-3.95,Oc1c(cc(Cl)cc1)Cc(cc(Cl)cc2)c2O
658,-3.96,c12cccc(C=C3)c1c3ccc2
659,-3.96,CC34CCC2c1c(CCC2C3CCC4=O)cc(O)cc1
660,-3.97,Cc1c(ccc3c2nccc3C)c2ncc1
661,-3.98,OC4CCN(CC4)CCCN2c1ccccc1Sc3c2cc(C#N)cc3
662,-3.99,CC(Cc(cc1)ccc1C(C)C(O)=O)C
663,-4.0,CC(C)(C)Nc1nc(SC)nc(NCC)n1
664,-4.0,CC1=CCC(C(C)=C)CC1
665,-4.02,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC
666,-4.04,O=C1C(Cl)=C(NC)C=NN1c2cc(C(F)(F)F)ccc2
667,-4.06,CCNc1nc(N(CC)CC)nc(Cl)n1
668,-4.08,O=C(SCC(Cl)=CCl)N(C(C)C)C(C)C
669,-4.08,Clc1cc(C(c4ccccc4Cl)=NCc3nnc(C)n23)c2cc1
670,-4.1,CCCCCCCCCC(OCC)=O
671,-4.1,C34C2CC(C)C1=CC(C=CC1(C)C2(F)C(O)CC3(C)C(C(C)=O)(O)CC4)=O
672,-4.11,O=C(Nc1ccccc1)NC(CCCC2)C2C
673,-4.11,O=C(C(C1=O)C(c2ccccc12)=O)C(C)(C)C
674,-4.12,CC(C)Cc1ccccc1
675,-4.12,CC(C3=CC2)(CCC(O)C3)C1C2C(CCC4=O)C4(C)CC1
676,-4.14,Cc1c(cccc2)c2c(C)cc1
677,-4.14,Clc2cc1ccccc1cc2
678,-4.15,CC(C)(c1ccccc1)CC
679,-4.15,OCCN(CC4)CCN4CCCN1c3c(ccc(C(F)(F)F)c3)Sc2c1cccc2
680,-4.16,COc1ccc(Oc2ccc(cc2)NC(N(C)C)=O)cc1
681,-4.16,COc1ccc2c(ccc(C(C)C(O)=O)c2)c1
682,-4.16,CCCCc1c(OS(=O)(N(C)C)=O)nc(NCC)nc1C
683,-4.16,Clc4cc1c(cc4)Sc3c(cccc3)N1CCCN2CCN(CCO)CC2
684,-4.16,CC(C3CC2)(CCC(O)C3)C1C2C(CCC4=O)C4(C)CC1
685,-4.17,CCc1c(cccc2)c2ccc1
686,-4.17,c1(Cc2ccccc2)ccccc1
687,-4.18,OC1(C(OC)=O)c3c(ccc(Cl)c3)c2c1cccc2
688,-4.19,CN(C)CCCN1c3c(cccc3)CCc2c1cccc2
689,-4.19,O=C(CCl)N(c(c(CC)ccc1)c1CC)COCCCC
690,-4.19,ClC(Cl)(Cl)C(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)NC=O
691,-4.2,CC(OP(OC(C)C)(SCCNS(=O)(c1ccccc1)=O)=S)C
692,-4.21,O=S(NC(NC2CCCCC2)=O)(c(cc1)ccc1C)=O
693,-4.21,O=C(c(cccc2)c2I)Nc1ccccc1
694,-4.22,CC(CN(C)C)CN1c(cc3OC)c(cc3)Sc2c1cccc2
695,-4.22,Nc1c(cc2ccccc2n3)c3ccc1
696,-4.23,S=P(OCC)(OCC)SCCSCC
697,-4.24,O=C(Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1)NC
698,-4.24,N#Cc(c(Cl)ccc1)c1Cl
699,-4.24,C#CCCCCCCC
700,-4.25,CCC1CCCCC1
701,-4.26,CC(C)CC(C)C
702,-4.27,CC1C(C)CCCC1
703,-4.29,Cc1c(cccc2)c2cc(C)c1
704,-4.3,CC(OCC(C4(O)CCC3C2CCC1=CC(CCC1(C)C2C(O)CC34C)=O)=O)=O
705,-4.31,O=C2Oc1c(C=C2)ccc(OC)c1CC=C(C)C
706,-4.31,O=C(O)CCCCCCCCCCCCCC
707,-4.31,c1(c2ccccc2)ccccc1
708,-4.33,CC(CCCC1)C1C
709,-4.35,Brc2cccc1ccccc12
710,-4.35,CC(C3CCC4C2CC(C1CC(CCC1(C2CC(C34C)O)C)O)O)CCC(O)=O
711,-4.35,Oc1ccc(C(CC)=C(CC)c2ccc(O)cc2)cc1
712,-4.36,O=C(O)c2c(cccc2)Nc1cc(C(F)(F)F)ccc1
713,-4.37,O=C1C=CC2(C)C(CCC3C2C(O)CC4(C)C3CCC4(O)C(COC(C)=O)=O)=C1
714,-4.37,O=C(OCC#CCCl)Nc1cccc(Cl)c1
715,-4.4,OC1CCC2(C)C(CCC3C2CCC4(C)C3CCC4=O)C1
716,-4.4,Brc1cc(cccc2)c2cc1
717,-4.4,Clc4cc1c(cc4)Sc3c(cccc3)N1CCCN2CCN(C)CC2
718,-4.4,O=C(OCCCC)c1ccccc1C(OCCCC)=O
719,-4.43,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4C(C)=O)=C1
720,-4.43,CC(C)Nc1nc(NC(C)C)nc(Cl)n1
721,-4.44,O=C1C(c3cc(C(F)(F)F)ccc3)=CN(C)C=C1c2ccccc2
722,-4.44,CCCCCCC=C
723,-4.45,c1(N=Nc2ccccc2)ccccc1
724,-4.46,C3(CC4)C2CC=C1CC(OC(C)=O)CCC1(C)C2CCC3(C)C4=O
725,-4.46,Clc1cc(Cl)ccc1Oc2c(O)cc(Cl)cc2
726,-4.47,CC1CCC(C)CC1
727,-4.49,Fc(cc(C(C(O)=O)C)cc2)c2c1ccccc1
728,-4.5,Brc(cc(Br)cc1)c1Br
729,-4.51,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
730,-4.53,CCCCCCC
731,-4.54,Clc(cccc2)c2c1ccccc1
732,-4.55,CCNc1nc(NCC)nc(Cl)n1
733,-4.57,Clc(c(Cl)ccc1Cl)c1Cl
734,-4.57,O=C1CCC2C(CCC3C2CCC4(C)C3CCC4(C#C)O)=C1
735,-4.6,CCCCCCCOC(c1ccc(N)cc1)=O
736,-4.6,S=C=Nc1cccc2c1cccc2
737,-4.6,c13c(cccc3)oc2c1cccc2
738,-4.61,Clc1c(OC)cc(OC)c2c1OC(C(OC)=CC3=O)(C(C)C3)C2=O
739,-4.62,Clc(cc3)ccc3C(n2c(C)c(CC(O)=O)c1cc(OC)ccc12)=O
740,-4.62,CCCCCCCCCCCC(O)=O
741,-4.63,CCCCCCCCCC(OC)=O
742,-4.63,Clc(c(Cl)cc(Cl)c1)c1Cl
743,-4.63,c12cccc(CC3)c1c3ccc2
744,-4.64,CCCCCc1ccccc1
745,-4.66,O=C(c(cccc1)c1C(OCC(C)C)=O)OCC(C)C
746,-4.67,CCCCCCCCCCCCO
747,-4.69,CCCCCCCCCCCC(OC)=O
748,-4.7,CC(OCCN4CCN(CC4)CCCN2c1c(Sc3ccc(cc23)Cl)cccc1)=O
749,-4.7,O=C(c(cc2Cl)c(cc2)O)Nc(ccc(N(=O)=O)c1)c1Cl
750,-4.71,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4(O)C(C)=O)=C1
751,-4.71,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(OC(CCCC)=O)C(CO)=O)=C1
752,-4.74,CCCC1CCCC1
753,-4.74,c1ccc2Sc3ccccc3N(CC4CN(C)CCC4)c2c1
754,-4.74,Cc1c(cccc2C)c2ccc1
755,-4.77,O=C(Nc1cc(Cl)c(Cl)cc1)N(C)CCCC
756,-4.81,CCCCCCCI
757,-4.85,Cc1cccc(c1)Oc2cccc(c2)C
758,-4.86,S=C(SSC(N(CC)CC)=S)N(CC)CC
759,-4.88,Clc1cccc(c2ccccc2)c1
760,-4.9,O=C1C=CC2(C)C(CCC3C2(F)C(O)CC4(C)C3CC(C)C4(OC(C)=O)C(CO)=O)=C1
761,-4.91,c1(cccc3)c3Cc2c1cccc2
762,-4.92,Clc1cc(c2cc(Cl)c(N)cc2)ccc1N
763,-4.92,Cc1ccc(c2c1cccc2C)C
764,-4.93,CC(OC(C(c1ccc(Br)cc1)(c2ccc(Br)cc2)O)=O)C
765,-4.95,CC=C(c1ccc(O)cc1)C(c2ccc(O)cc2)=CC
766,-4.95,CC1(CC2)C(OC(C)=O)(C(C)=O)CCC1C(C=C3Cl)C2C(C=C4)(C)C3=CC4=O
767,-4.97,c1(cccc3)c3[nH]c2c1cccc2
768,-4.98,Clc1cc(Cl)c(Cl)c2nsnc12
769,-5.01,CN(C)CCCN1c(cc(Cl)cc3)c3Sc2c1cccc2
770,-5.03,O=C(C(NC(C(Cl)Cl)=O)=C2Cl)c(cccc1)c1C2=O
771,-5.04,Brc1c(Br)cccc1Br
772,-5.05,C=CCCCCCCC
773,-5.06,CCCCCCCCBr
774,-5.06,OC(CCC(c1ccc(c2ccccc2)cc1)=O)=O
775,-5.09,COc1ccc(cc1C(NCCc2ccc(S(=O)(NC(NC3CCCCC3)=O)=O)cc2)=O)Cl
776,-5.14,O=P(SCCCC)(SCCCC)SCCCC
777,-5.15,OC4CCC3(C)C2CC(O)C1(C)C(C(C)CCC(NCC(O)=O)=O)CCC1C2C(O)CC3C4
778,-5.17,Nc3cc2cc1ccccc1cc2cc3
779,-5.18,ClC1(C(Cl)=C(Cl)C(Cl)=C1Cl)Cl
780,-5.19,O=C(OC(C)C)C=C(C)C=CCC(C)CCCC(OC)(C)C
781,-5.19,O=C(c2c1cccc2)c(cccc3)c3C1=O
782,-5.21,Clc(cccc2Cl)c2c1ccccc1
783,-5.22,Oc1ccc(Oc2c(I)cc(CC(N)C(O)=O)cc2I)cc1I
784,-5.22,Cc1c(Cc3ccccc23)c2ccc1
785,-5.24,CCCCCCCC
786,-5.25,Clc(cc(Cl)cc2)c2c1ccccc1
787,-5.27,CC(C3(CCC4C2C=C(C1=CC(CCC1(C2CCC34C)C)=O)C)C)=O
788,-5.27,Clc(cccc2)c2c1ccccc1Cl
789,-5.28,Oc1cc(CC=C3C2CCC4(C)C3CCC4=O)c2cc1
790,-5.28,Clc(cccc2)c2c1ccc(Cl)cc1
791,-5.3,CN(CCCN2c1ccccc1Sc3c2cc(C(F)(F)F)cc3)C
792,-5.31,c1(cccc3)c3Oc(cccc2)c2O1
793,-5.33,O=C(O)CCCCCCCCCCCCC
794,-5.35,CC(OC(C12C)(CCC1C(C=C(C)C3=CC4=O)C(C3(CC4)C)CC2)C(C)=O)=O
795,-5.37,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4OC(CC)=O)=C1
796,-5.4,O=C(c(cc1)ccc1N)OCCCCCCCC
797,-5.4,c1(c2nc(cccc4)c4cc2)nc(cccc3)c3cc1
798,-5.4,O=C1N(SC(Cl)(Cl)C(Cl)Cl)C(C2CC=CCC12)=O
799,-5.41,CC45CCC2C(C4CCC5O)CCC3CC1SC1CC23C
800,-5.43,Clc1c2c(nccn2)c(Cl)c(Cl)c1Cl
801,-5.46,Clc1c(Oc2ccc(N(=O)=O)cc2)ccc(Cl)c1
802,-5.47,Nc1c(C(F)(F)F)cc(N(=O)=O)c(N(CC)CC)c1N(=O)=O
803,-5.47,CN(C=Nc(ccc(C)c2)c2C)C=Nc(ccc(C)c1)c1C
804,-5.51,CC(C(C(COC(CC(C)(C)C)=O)=O)(O)CC1)(CC2O)C1C(CC3)C2C(CC4)(C)C3=CC4=O
805,-5.53,FC(F)(F)c1cc(N(=O)=O)c(N(CC)CCCC)c(N(=O)=O)c1
806,-5.54,S=P(OCC)(OCC)SCSP(OCC)(OCC)=S
807,-5.54,COc1cc3c(n(c(C)c3CC(O)=O)C(C=Cc2ccccc2)=O)cc1
808,-5.64,O=C(OCc2ccccc2)c1ccccc1C(OCCCC)=O
809,-5.64,ClC13C(Cl)=C(Cl)C(C3(Cl)Cl)(Cl)C2C1C=CC2
810,-5.65,Clc(c(Cl)cc(Cl)c1Cl)c1Cl
811,-5.66,O=C1CCC2(C)C(CCC3C2CCC4(C)C3CCC4(C#C)O)=C1
812,-5.68,CCCCCCCCCCCCCCCCCC(O)=O
813,-5.69,CC(Oc1cc(N2N=C(C(C)(C)C)OC2=O)c(cc1Cl)Cl)C
814,-6.7,CC12C(CC3)C(CCC1CCCC2)C(CC4)C3(C)C4=O
815,-5.72,S=P(OC)(OC)Oc(cc(Cl)c(Cl)c1)c1Cl
816,-5.82,O=N(c(c(Cl)c(Cl)c(Cl)c1Cl)c1Cl)=O
817,-6.0,c24c(cccc4)c1cccc3c1c2ccc3
818,-6.01,Clc1cc(c2cc(Cl)ccc2Cl)ccc1
819,-6.02,O=C(NC(Nc2ccc(Cl)cc2)=O)c1c(F)cccc1F
820,-6.05,CCCCCCCCCCCCCCO
821,-6.14,Clc1cc(Cl)c(c2ccccc2)c(Cl)c1
822,-6.19,c1(ccc3ccc4)cccc2ccc4c3c12
823,-6.2,Nc(c4c3cccc4)cc1c3ccc2c1cccc2
824,-6.25,Clc(ccc(Cl)c2)c2c1ccc(Cl)cc1
825,-6.26,Clc1ccc(c2cccc(Cl)c2Cl)cc1
826,-6.27,Clc(cc(Cl)c(Cl)c2)c2c1ccccc1
827,-6.29,ClC12C3C(C4C(O5)C5C3C4)C(C2(Cl)Cl)(Cl)C(Cl)=C1Cl
828,-6.29,Clc(cccc2)c2c1ccc(Cl)c(Cl)c1
829,-6.34,S=P(OCC)(OCC)SC(CCl)N1C(c(cccc2)c2C1=O)=O
830,-6.35,c12ccccc1cc3c(cccc3)c2
831,-6.36,ClC(Cl)=C(c1ccc(Cl)cc1)c(cccc2)c2Cl
832,-6.39,Clc1cc(c2ccccc2)ccc1Cl
833,-6.47,Clc1ccc(Cl)c(c2cccc(Cl)c2Cl)c1
834,-6.51,ClC(Cl)C(c1ccc(Cl)cc1)c(cccc2)c2Cl
835,-6.56,Clc1ccc(c2ccc(Cl)cc2)cc1
836,-6.57,Clc1ccc(Cl)cc1c2c(Cl)cc(Cl)cc2
837,-6.57,Cc(c2c1cccc2)c(cccc3)c3c1C
838,-6.62,S=P(OC)(OC)Oc1c(Cl)cc(I)c(Cl)c1
839,-6.68,c2(c(cccc4)c4cc3)c3c1ccccc1C2
840,-6.74,c1(cccc3)c3c(cccc4)c4c2c1cccc2
841,-6.8,Clc(cc2)c(cc2Cl)c1c(Cl)cccc1Cl
842,-6.89,CCc3cc2cc1ccccc1cc2cc3
843,-6.9,ClC(Cl)=C(c2ccc(Cl)cc2)c1ccc(Cl)cc1
844,-6.96,Cc1cc(cc(cccc3)c3c2)c2cc1
845,-7.02,Cc1c(c(cccc4)c4cc3)c3c(C)c2c1cccc2
846,-7.11,c1(c2ccc(c3ccccc3)cc2)ccccc1
847,-7.2,ClC(Cl)C(c2ccc(Cl)cc2)c1ccc(Cl)cc1
848,-7.21,Clc(c(Cl)c2Cl)c(cc2Cl)c1c(Cl)cccc1
849,-7.25,Clc(ccc(Cl)c2)c2c1ccc(Cl)c(Cl)c1
850,-7.28,Clc1c(Cl)cccc1c2c(Cl)c(Cl)ccc2
851,-7.32,CC5C6(OCC(C)CC6)OC4CC3C2CC=C1CC(O)CCC1(C)C2CCC3(C)C45
852,-7.32,Clc2c(c(Cl)cc(Cl)c2)c1c(Cl)cccc1Cl
853,-7.39,Clc(cc(Cl)c(Cl)c2)c2c1ccc(Cl)c(Cl)c1
854,-7.39,Clc(cccc2Cl)c2c1c(Cl)cccc1Cl
855,-7.42,c2(cc4)c([nH]c3c(cccc5)c5ccc23)c1c4cccc1
856,-7.42,Clc1c(c2cc(Cl)ccc2Cl)c(Cl)c(Cl)cc1Cl
857,-7.43,Clc2c(c(Cl)cc(Cl)c2Cl)c1c(Cl)cccc1
858,-7.66,Clc1c(c2ccc(Cl)c(Cl)c2)c(Cl)c(Cl)c(Cl)c1
859,-7.68,Clc1ccc(Cl)c(c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
860,-7.8,Clc1ccc(c2ccc(c(Cl)c2)Cl)c(Cl)c1
861,-7.82,Clc(c(Cl)c2Cl)c(cc2Cl)c1ccc(Cl)c(Cl)c1
862,-7.92,Clc(c(Cl)c(Cl)c(Cl)c2Cl)c2c1ccccc1
863,-7.92,Clc1c(c2cc(Cl)c(Cl)cc2Cl)c(Cl)c(Cl)c(Cl)c1
864,-7.92,Cc(ccc2cc4c3ccc5c4cccc5)c1c2c3CC1
865,-8.0,c3(ccc5c4cccc5)c4c1c2c(cccc23)ccc1
866,-8.01,Clc1ccc(c2ccc(c(Cl)c2Cl)Cl)c(Cl)c1Cl
867,-8.19,c23c1c4cccc1ccc2cc5c(cccc5)c3cc4
868,-8.23,c23c4c1ccccc1c2cccc3c(cccc5)c5c4
869,-8.4,FC(F)(F)c1cccc(C(c3ccccc3)(n4cncn4)c2ccccc2)c1
870,-8.56,Clc(cc(Cl)c(Cl)c2)c2c1cc(Cl)c(Cl)cc1Cl
871,-8.6,Clc(c(Cl)c2)c(c(Cl)c2Cl)c1c(Cl)c(Cl)ccc1
872,-8.71,Clc1cc(Cl)c(c2c(cc(cc2Cl)Cl)Cl)c(Cl)c1
873,-8.8,c14cccc2cccc(c3c5c(cccc45)ccc3)c12
874,-8.94,Clc1c(c2cc(Cl)ccc2Cl)c(Cl)c(Cl)c(Cl)c1Cl
875,-9.15,Clc(c(Cl)cc(Cl)c2Cl)c2c1c(Cl)c(Cl)cc(Cl)c1Cl
876,-9.16,Clc1c(Cl)c(Cl)c(Cl)c(c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
877,-11.62,Clc1c(c(Cl)c(c2c(c(Cl)c(c(Cl)c2Cl)Cl)Cl)c(Cl)c1Cl)Cl
878,1.13,CNC(N)=O
879,1.07,O=C1CCCO1
880,1.07,O=C1CCCN1
881,1.06,C1COCCN1
882,1.05,OC1COCC1
883,1.0,CN1C(CCC1)=O
884,0.96,OCc1cccnc1
885,0.96,O=C(N)N
886,0.96,C=CC(N)=O
887,0.94,O=C(N(C)C)N(C)C
888,0.84,CN(C)C
889,0.79,CN1C(c2cccnc2)CCC1
890,0.74,OC1OC(CO)C(O)C(O)C1O
891,0.7,OCC(O)C(CO)O
892,0.52,CC(OC)=O
893,0.51,OC(C(O)=O)(CC(O)=O)CC(O)=O
894,0.43,O=P(OCC)(OCC)OCC
895,0.43,CC(O)CC
896,0.38,O=C(O)C(O)=O
897,0.38,Cc1cc(C)cnc1
898,0.36,Cc(ccnc1)c1C
899,0.32,NC(N)=S
900,0.3,FC(F)(F)C(O)C
901,0.06,Cc1nc(ncnc2)c2nc1
902,0.01,CC(C(O)=O)=C
903,0.0,CCCCO
904,-0.02,NC(CCl)=O
905,-0.04,CC(OCC)=O
906,-0.06,COC(C)C
907,-0.11,OC(CCl)CCl
908,-0.14,O=C(OC)CC
909,-0.17,Oc1ccc(O)cc1
910,-0.22,OC(C(Cl)(Cl)Cl)P(OC)(OC)=O
911,-0.24,CC(C)(C)OC
912,-0.35,NC(OCc1ccccc1)=O
913,-0.36,Nc1nccs1
914,-0.4,O=C1NC(CN1)=O
915,-0.4,O=C(NC1=O)C(N1)=O
916,-0.4,CC(C)(C)CO
917,-0.4,OC(c1ccc(N)cc1)=O
918,-0.41,Nc1ccccc1
919,-0.41,CC(C)(O)C(C)C
920,-0.42,CCCCOCCO
921,-0.43,CC(OCC)OCC
922,-0.43,OC(CCI)=O
923,-0.46,CCCNCCC
924,-0.47,CC(CO)CC
925,-0.48,O=C(c1ccco1)O
926,-0.49,CC(C)(O)CCC
927,-0.52,CC(C)CCO
928,-0.55,CC(OC(C)C)=O
929,-0.55,CCOC(C)C
930,-0.6,CCS
931,-0.6,CCCCCO
932,-0.62,CC(C)N(=O)=O
933,-0.62,CN2N(c1ccccc1)C(C(N)=C2C)=O
934,-0.62,Oc1ccccc1C
935,-0.71,S=C1NCCN1
936,-0.74,OCCc1ccccc1
937,-0.8,O=N(=O)CCC
938,-0.8,CC(C)CC(O)C
939,-0.8,CC(CCCC)=O
940,-0.81,O=C(O)C(CC)CC
941,-0.82,OC(CCCCC(O)=O)=O
942,-0.83,O=C1CNC(CN1)=O
943,-0.85,CN(C(OC1=CC(CC(C)(C1)C)=O)=O)C
944,-0.85,Cc1c(N)cccc1
945,-0.85,CC(C)C(O)(C)CC
946,-0.89,CC(O)(C)C(C)CC
947,-0.89,CC(O)CCCC
948,-0.91,NC(c1cnccn1)=O
949,-0.93,OC(C(CO)c1ccccc1)=O
950,-0.94,CC(CCCC1)C1=O
951,-0.95,NC(NCc1ccccc1)=O
952,-0.95,CN(c1ccccc1)C(C)=O
953,-0.96,NC(N(N=O)CC)=O
954,-1.0,N#Cc1ccccc1
